Domain,TLD,Source_Count,Sources
bat.chen,chen,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509093808_default_192.116.238.153_ad.exchange.mail_786317.txt
cve-2024-22024.py,py,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti/analysis_pages_0021-0025.md
ebru.hallac,hallac,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
pygments.css,css,1,Malwares and Logs/access.log
scopt.co.il,il,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/544bf4f9e5fdb4d35987b4c25f537213ce3c926a_گزارش عملکرد ماهانه  بهمن ما_REDACTEDpdf/analysis_pages_0003-0004.md
a.shadowkhi,shadowkhi,2,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511062016_default_85.184.233.219_ad.exchange.mail_340863.txt|Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073715_default_85.184.233.203_ad.exchange.mail_245488.txt
wp-crom.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
agah.cetik,cetik,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
fatma.ertankozcagiz,ertankozcagiz,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509090817_default_212.175.168.58_ad.exchange.mail_153067.txt
abdullah.alasmari,alasmari,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053201_default_212.12.178.178_ad.exchange.mail_084629.txt
hju.lee,lee,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528052745_default_112.220.89.44_ad.exchange.mail_358740.txt
ssh.exe,exe,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/phishing hervpdf/analysis_pages_0009-0010.md
jain.rohit,rohit,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528085858_default_3.35.110.181_ad.exchange.mail_716037.txt
js.cho,cho,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053436_default_121.134.12.29_ad.exchange.mail_573404.txt
eunseok.kim,kim,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528035936_default_1.235.185.175_ad.exchange.mail_644119.txt
baris.aydin,aydin,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
aldfeeri.amthal,amthal,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511153325_default_212.12.169.12_ad.exchange.mail_543681.txt
r.lebbos,lebbos,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511023842_default_185.125.149.35_ad.exchange.mail_029838.txt
abduismail.jeddah,jeddah,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511081050_default_86.51.167.167_ad.exchange.mail_336958.txt
system.airtech,airtech,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509101256_default_92.45.15.114_ad.exchange.mail_954868.txt
ahmad.itawi,itawi,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
taibaflocks.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511074102_default_94.77.201.86_ad.exchange.mail_620908.txt
a.aljuwaied,aljuwaied,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
abdulbaki.ozdemir,ozdemir,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
aamer.mohammed,mohammed,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511081050_default_86.51.167.167_ad.exchange.mail_336958.txt
jad.jamaleddine,jamaleddine,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020316_default_195.112.212.187_ad.exchange.mail_460335.txt
biz.usa,usa,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528042238_default_112.168.212.106_ad.exchange.mail_432586.txt
jin2.kim,kim,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528035936_default_1.235.185.175_ad.exchange.mail_644119.txt
aeo.mr,mr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528090112_default_58.230.206.3_ad.exchange.mail_445149.txt
wmic.exe,exe,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/1403-05-6_hsn_rtm_DailyReportpdf/analysis_pages_0001-0001.md
alaqrabawi.firas,firas,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511153325_default_212.12.169.12_ad.exchange.mail_543681.txt
donghoon.shin,shin,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528035936_default_1.235.185.175_ad.exchange.mail_644119.txt
e.mitri,mitri,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511013829_default_89.108.156.18_ad.exchange.mail_407557.txt
a.almasri,almasri,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
ali.konak,konak,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
ali.eken,eken,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509101220_default_78.188.48.174_ad.exchange.mail_104680.txt
qixian.an,an,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528083215_default_211.58.43.200_ad.exchange.mail_188966.txt
abid.mujawar,mujawar,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053201_default_212.12.178.178_ad.exchange.mail_084629.txt
sk.beck,beck,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053436_default_121.134.12.29_ad.exchange.mail_573404.txt
change.js,js,1,Malwares and Logs/access.log
rashid.mantash,mantash,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511022252_default_89.17.124.130_ad.exchange.mail_259424.txt
snapper.com.tr,tr,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103315_default_95.0.22.150_ad.exchange.mail_545296.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510020055_default_95.0.22.150_ad.exchange.mail_062149.txt
layal.karam,karam,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020316_default_195.112.212.187_ad.exchange.mail_460335.txt
api6.ipify.org,org,1,Malwares and Logs/access.log
samama.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511074154_default_37.99.148.54_ad.exchange.mail_029543.txt
tripathi.rajnish,rajnish,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528085858_default_3.35.110.181_ad.exchange.mail_716037.txt
server.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
jw.choi,choi,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528052745_default_112.220.89.44_ad.exchange.mail_358740.txt
hy.jung,jung,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528052745_default_112.220.89.44_ad.exchange.mail_358740.txt
mail.nikanaghsh.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
ghn.cert,cert,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528042238_default_112.168.212.106_ad.exchange.mail_432586.txt
woori-net.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
alhajoj.cust.relations,relations,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511153325_default_212.12.169.12_ad.exchange.mail_543681.txt
abdulselam.urtanur,urtanur,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
ghn.fe,fe,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528042238_default_112.168.212.106_ad.exchange.mail_432586.txt
jungwoo.yang,yang,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528064243_default_210.207.67.150_ad.exchange.mail_094085.txt
mail.ddcpersia.net,net,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
env.stage,stage,1,Malwares and Logs/ameen-alkhalij.com.log
ioxi2.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
hanadi.dekmak,dekmak,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511022252_default_89.17.124.130_ad.exchange.mail_259424.txt
abdurrahman.karaer,karaer,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
aladdin.shakarov,shakarov,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095256_default_89.147.201.146_ad.exchange.mail_288590.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509100603_default_89.147.201.146_ad.exchange.mail_883805.txt
tahir.tahir,tahir,1,Malwares and Logs/173c6a542c2046c38d2cb863239eff0566a8a9c0_mfa.tr.txt
sk.jeon,jeon,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528052745_default_112.220.89.44_ad.exchange.mail_358740.txt
ismet.korukoglu,korukoglu,1,Malwares and Logs/173c6a542c2046c38d2cb863239eff0566a8a9c0_mfa.tr.txt
portal0000.htm,htm,1,Malwares and Logs/access.log
arzu.tuer,tuer,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
ali.coban,coban,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
aftab.hussain,hussain,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511153325_default_212.12.169.12_ad.exchange.mail_543681.txt
logo.gif,gif,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0021-0022.md
eduvation.edu.lb,lb,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510090452_default_193.227.165.69_ad.exchange.mail_560593.txt
c.azzi,azzi,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020316_default_195.112.212.187_ad.exchange.mail_460335.txt
aysesenanur.aksoy,aksoy,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103500_default_85.111.43.100_ad.exchange.mail_333724.txt
home.html,html,2,Malwares and Logs/ameen-alkhalij.com.log|Malwares and Logs/access.log
mail.spinneys-lebanon.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
a.almanon,almanon,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
s.sharaf,sharaf,2,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511062016_default_85.184.233.219_ad.exchange.mail_340863.txt|Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073715_default_85.184.233.203_ad.exchange.mail_245488.txt
leakix.net,net,3,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/گزارش عملکرد ماهانه بهمن ماه شایانpdf/analysis_pages_0001-0002.md|Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/4d6bf3834e9afb8e3c3861bf2ad64a68d9c7d870_گزارش عملکرد ماهانه بهمن ماه_pdf/analysis_pages_0001-0002.md|Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/4d6bf3834e9afb8e3c3861bf2ad64a68d9c7d870_گزارش عملکرد ماهانه بهمن ماه_ 2pdf/analysis_pages_0001-0002.md
prsnl.support,support,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511075007_default_212.12.183.242_ad.exchange.mail_879993.txt
filiz.bozkurt,bozkurt,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509101220_default_78.188.48.174_ad.exchange.mail_104680.txt
as.ghil,ghil,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053436_default_121.134.12.29_ad.exchange.mail_573404.txt
a.abdellatif,abdellatif,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
kw.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
abdullah.merde,merde,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
wp-login.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
ankara.satis,satis,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103315_default_95.0.22.150_ad.exchange.mail_545296.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510020055_default_95.0.22.150_ad.exchange.mail_062149.txt
a.alshwmi,alshwmi,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053414_default_37.224.113.215_ad.exchange.mail_711533.txt
a.aloamar,aloamar,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
mytsystem.co.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
abdurrahman.toros,toros,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
gebase.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
taegon.kang,kang,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
human.aspx,aspx,1,Malwares and Logs/access.log
a.alameen,alameen,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
bahtiyar.erata,erata,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103315_default_95.0.22.150_ad.exchange.mail_545296.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510020055_default_95.0.22.150_ad.exchange.mail_062149.txt
adil.abbasov,abbasov,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095415_default_89.147.205.100_ad.exchange.mail_981251.txt
text.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
a.aljebreen,aljebreen,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
ahmed.ibrahem,ibrahem,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053336_default_213.236.56.117_ad.exchange.mail_691453.txt
m.boumansour,boumansour,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511013829_default_89.108.156.18_ad.exchange.mail_407557.txt
ahmad.minaoui,minaoui,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510092026_default_194.126.2.223_ad.exchange.mail_419326.txt
ansari.makhdoom,makhdoom,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528085858_default_3.35.110.181_ad.exchange.mail_716037.txt
base1.js,js,1,Malwares and Logs/ameen-alkhalij.com.log
a.alabboud,alabboud,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
archive.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
jquery.validate.min.js,js,1,Malwares and Logs/access.log
abdullah.savsan,savsan,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
sql.js,js,1,Malwares and Logs/access.log
ahmad.ouaidat,ouaidat,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
logon.aspx,aspx,3,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
tango.cumberland.com.lb,lb,2,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv|Malwares and Logs/All_Proxy_Shell_Targets/LB/LB_Proxy_Shell_target.txt
alshammari.marketing,marketing,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511153325_default_212.12.169.12_ad.exchange.mail_543681.txt
shah.pinkal,pinkal,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528085858_default_3.35.110.181_ad.exchange.mail_716037.txt
a.mandan,mandan,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095927_default_212.156.77.214_ad.exchange.mail_939687.txt
anill.go,go,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528035936_default_1.235.185.175_ad.exchange.mail_644119.txt
abdulrahman.al,al,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511081050_default_86.51.167.167_ad.exchange.mail_336958.txt
index.cgi,cgi,1,Malwares and Logs/access.log
m.haydrh,haydrh,2,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511062016_default_85.184.233.219_ad.exchange.mail_340863.txt|Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073715_default_85.184.233.203_ad.exchange.mail_245488.txt
n.moufarrej,moufarrej,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511013829_default_89.108.156.18_ad.exchange.mail_407557.txt
mail.securiteassurance.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
caglar.yakut,yakut,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509101256_default_92.45.15.114_ad.exchange.mail_954868.txt
aysun.demir,demir,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103500_default_85.111.43.100_ad.exchange.mail_333724.txt
ahmed.ghemari,ghemari,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510092026_default_194.126.2.223_ad.exchange.mail_419326.txt
functions.js,js,1,Malwares and Logs/access.log
casino.biletleme,biletleme,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
bahri.teker,teker,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103500_default_85.111.43.100_ad.exchange.mail_333724.txt
mail.kcti.co.kr,kr,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
zxcvbn-ts.js,js,1,Malwares and Logs/access.log
sisodhia.sonu,sonu,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528085858_default_3.35.110.181_ad.exchange.mail_716037.txt
ahmetbahri.karaova,karaova,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510025101_default_91.93.60.19_ad.exchange.mail_714410.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510023853_default_91.93.60.19_ad.exchange.mail_346834.txt
abdulaziz.celik,celik,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
ayca.demirel,demirel,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
adal.koyuncu,koyuncu,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
emine.dikici,dikici,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
abdelelah.ahmed,ahmed,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511081050_default_86.51.167.167_ad.exchange.mail_336958.txt
index.asp,asp,1,Malwares and Logs/access.log
gozde.kaya,kaya,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
m.pak,pak,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015633_default_78.188.86.118_ad.exchange.mail_745306.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102647_default_78.188.86.118_ad.exchange.mail_633136.txt
inho.park,park,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528035936_default_1.235.185.175_ad.exchange.mail_644119.txt
inicio.php,php,1,Malwares and Logs/access.log
georges.saba,saba,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020316_default_195.112.212.187_ad.exchange.mail_460335.txt
ghn.iop,iop,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528042238_default_112.168.212.106_ad.exchange.mail_432586.txt
a.alomer,alomer,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
ihcc.sa,sa,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511085317_default_87.101.204.179_ad.exchange.mail_464449.txt
mireille.ghosn,ghosn,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511023727_default_195.112.201.67_ad.exchange.mail_385722.txt
common.css,css,1,Malwares and Logs/ameen-alkhalij.com.log
fattal.com.lb,lb,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510092026_default_194.126.2.223_ad.exchange.mail_419326.txt
mail.szf.ir,ir,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
public.css,css,1,Malwares and Logs/ameen-alkhalij.com.log
srv0.kurgu-e.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/TR_Exchange_target.txt
www.google.com,com,2,Malwares and Logs/ameen-alkhalij.com.log|Malwares and Logs/access.log
bahman.abdullayev,abdullayev,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095415_default_89.147.205.100_ad.exchange.mail_981251.txt
mail.zenitled.com.tr,tr,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/TR_Exchange_target.txt
antoine.assaf,assaf,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511013858_default_185.3.22.28_ad.exchange.mail_486453.txt
map.ir,ir,2,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt|Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/2d5b8da0d0719e6f8212497d7e34d5f1b1fa6776_All_target_report_20220508pdf/analysis_pages_0001-0002.md
show-hint.css,css,1,Malwares and Logs/access.log
status.jsp,jsp,1,Malwares and Logs/access.log
akram.issa,issa,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
config.env,env,1,Malwares and Logs/ameen-alkhalij.com.log
arzu.mezarci,mezarci,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103500_default_85.111.43.100_ad.exchange.mail_333724.txt
ali.faikyirik,faikyirik,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509090817_default_212.175.168.58_ad.exchange.mail_153067.txt
m.gharib,gharib,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511013829_default_89.108.156.18_ad.exchange.mail_407557.txt
abbas.mosaalomran,mosaalomran,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511081050_default_86.51.167.167_ad.exchange.mail_336958.txt
erdem.canli,canli,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
ahmed.faraz,faraz,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053201_default_212.12.178.178_ad.exchange.mail_084629.txt
shukee.lee,lee,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060305_default_168.154.245.55_ad.exchange.mail_617294.txt
home.jsp,jsp,1,Malwares and Logs/access.log
mail.karaj.ir,ir,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
basak.sezer,sezer,2,Malwares and Logs/173c6a542c2046c38d2cb863239eff0566a8a9c0_mfa.tr.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509090817_default_212.175.168.58_ad.exchange.mail_153067.txt
cyb3r.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
a.aljewd,aljewd,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
sazehsazan.com,com,2,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt|Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/2d5b8da0d0719e6f8212497d7e34d5f1b1fa6776_All_target_report_20220508pdf/analysis_pages_0001-0002.md
ebubekir.erdem,erdem,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509101256_default_92.45.15.114_ad.exchange.mail_954868.txt
altayeb.osman,osman,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053201_default_212.12.178.178_ad.exchange.mail_084629.txt
adnan.haydar,haydar,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
m.proudian,proudian,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511013829_default_89.108.156.18_ad.exchange.mail_407557.txt
adama.com,com,2,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti/analysis_pages_0006-0010.md|Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0009-0010.md
mail.mersin.bel.tr,tr,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/TR_Exchange_target.txt
goksel.turkmen,turkmen,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
hasan.zahra,zahra,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511022252_default_89.17.124.130_ad.exchange.mail_259424.txt
fatma.yalcin,yalcin,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
jquery-migrate.min.js,js,1,Malwares and Logs/access.log
asma.lutfi,lutfi,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053336_default_213.236.56.117_ad.exchange.mail_691453.txt
daewooenc.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
