Domain,TLD,Source_Count,Sources
ahmadm.masri,masri,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
ccl-engineering.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510090123_default_109.233.23.126_ad.exchange.mail_873501.txt
l.reports,reports,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511023842_default_185.125.149.35_ad.exchange.mail_029838.txt
abdullah.gunes,gunes,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
license.txt,txt,1,Malwares and Logs/ameen-alkhalij.com.log
arife.arslan,arslan,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510025101_default_91.93.60.19_ad.exchange.mail_714410.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510023853_default_91.93.60.19_ad.exchange.mail_346834.txt
jobagent.co.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528052916_default_115.68.56.100_ad.exchange.mail_451528.txt
a.barmo,barmo,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511013829_default_89.108.156.18_ad.exchange.mail_407557.txt
localstart.html,html,1,Malwares and Logs/access.log
m.saleh,saleh,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511153517_default_212.102.11.45_ad.exchange.mail_007734.txt
a.ozcibir,ozcibir,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015633_default_78.188.86.118_ad.exchange.mail_745306.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102647_default_78.188.86.118_ad.exchange.mail_633136.txt
rh.kwak,kwak,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053436_default_121.134.12.29_ad.exchange.mail_573404.txt
abdulmecit.aydin,aydin,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
exserver.elmosanat.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
thoms.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
mail.ihcc.sa,sa,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/SA_Proxyshell_target.txt
alshamri.khalid,khalid,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511153325_default_212.12.169.12_ad.exchange.mail_543681.txt
otaknetworks.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510022249_default_95.0.240.217_ad.exchange.mail_821413.txt
cert.at,at,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0029-0030.md
mct.co.il,il,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509093808_default_192.116.238.153_ad.exchange.mail_786317.txt|Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti/analysis_pages_0036-0040.md
bahadir.boran,boran,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
a.alenzi,alenzi,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
repkon.com.tr,tr,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510024517_default_176.236.220.38_ad.exchange.mail_699805.txt
aysenur.kumas,kumas,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
mail.nit.ac.ir,ir,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
wp-content.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
web.json,json,1,Malwares and Logs/ameen-alkhalij.com.log
abe.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
savas.tanyeri,tanyeri,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510022249_default_95.0.240.217_ad.exchange.mail_821413.txt
hvc.co.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
dina.kamal,kamal,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053336_default_213.236.56.117_ad.exchange.mail_691453.txt
abdullah.basakcioglu,basakcioglu,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
n.alqubal,alqubal,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053414_default_37.224.113.215_ad.exchange.mail_711533.txt
almasri.khalil,khalil,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511153325_default_212.12.169.12_ad.exchange.mail_543681.txt
bahar.kocaman,kocaman,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509101256_default_92.45.15.114_ad.exchange.mail_954868.txt
fatma.omeraga,omeraga,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509090817_default_212.175.168.58_ad.exchange.mail_153067.txt
azar.dika,dika,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511023727_default_195.112.201.67_ad.exchange.mail_385722.txt
search.censys.io,io,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0031-0032.md
mail.nisahastanesi.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/TR_Exchange_target.txt
boyah.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
ym.ki,ki,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053436_default_121.134.12.29_ad.exchange.mail_573404.txt
abdulwaheed.ahmad,ahmad,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511081050_default_86.51.167.167_ad.exchange.mail_336958.txt
abdelaziz.darf,darf,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510092026_default_194.126.2.223_ad.exchange.mail_419326.txt
cuneyt.erol,erol,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103315_default_95.0.22.150_ad.exchange.mail_545296.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510020055_default_95.0.22.150_ad.exchange.mail_062149.txt
lea.bassila,bassila,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020316_default_195.112.212.187_ad.exchange.mail_460335.txt
jeongu.seo,seo,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528035936_default_1.235.185.175_ad.exchange.mail_644119.txt
a.alhajyousef,alhajyousef,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
ahmad.obeid,obeid,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
ahmed.sayed,sayed,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053336_default_213.236.56.117_ad.exchange.mail_691453.txt
mail.omran.tehran.ir,ir,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti/analysis_pages_0036-0040.md
betul.kucukberber,kucukberber,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103500_default_85.111.43.100_ad.exchange.mail_333724.txt
derun.karabeyoglu,karabeyoglu,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510022249_default_95.0.240.217_ad.exchange.mail_821413.txt
sanghyo.an,an,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528090307_default_61.34.245.225_ad.exchange.mail_708060.txt
mail.vitaslebanon.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
cagla.cetinkaya,cetinkaya,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
sysgen.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
mail.sanjehkish.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
boyukaga.mamedov,mamedov,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095415_default_89.147.205.100_ad.exchange.mail_981251.txt
nettsi.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510022249_default_95.0.240.217_ad.exchange.mail_821413.txt
a.ozdemir,ozdemir,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095927_default_212.156.77.214_ad.exchange.mail_939687.txt
jquery-ui-timepicker-addon.js,js,1,Malwares and Logs/access.log
mail.pu.ac.ir,ir,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
adel.francis,francis,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
jquery.uitablefilter.js,js,1,Malwares and Logs/access.log
abdullaht.alharbi,alharbi,3,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511064255_default_77.240.91.154_ad.exchange.mail_768259.txt|Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511064327_default_77.240.91.155_ad.exchange.mail_118693.txt|Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511062605_default_77.240.91.151_ad.exchange.mail_704039.txt
a.balano,balano,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
mail.gu.edu.lb,lb,2,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv|Malwares and Logs/All_Proxy_Shell_Targets/LB/LB_Proxy_Shell_target.txt
mgifc.aspx,aspx,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
support.co.il,il,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0035-0036.md
berna.sari,sari,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510025101_default_91.93.60.19_ad.exchange.mail_714410.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510023853_default_91.93.60.19_ad.exchange.mail_346834.txt
abdulkadir.uzun,uzun,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509102834_default_212.175.105.121_ad.exchange.mail_139913.txt
ahmed.ali,ali,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053201_default_212.12.178.178_ad.exchange.mail_084629.txt
a.ulker,ulker,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095927_default_212.156.77.214_ad.exchange.mail_939687.txt
aykut.yildiz,yildiz,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103500_default_85.111.43.100_ad.exchange.mail_333724.txt
barowatt.com,com,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
a.altawil,altawil,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
sh.jo,jo,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053436_default_121.134.12.29_ad.exchange.mail_573404.txt
elias.sakr,sakr,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020316_default_195.112.212.187_ad.exchange.mail_460335.txt
home.php,php,1,Malwares and Logs/access.log
vn.hansae.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528090112_default_58.230.206.3_ad.exchange.mail_445149.txt
jongki.bae,bae,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528035936_default_1.235.185.175_ad.exchange.mail_644119.txt
mantech.co.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
simone.co.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528085559_default_221.163.187.53_ad.exchange.mail_528713.txt
raheel.raza,raza,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/نفوذ به ایمیل راحیلpdf/analysis_pages_0001-0002.md
damn.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
ym.kim,kim,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053436_default_121.134.12.29_ad.exchange.mail_573404.txt
mail.fcp.ir,ir,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
www.youtube.com,com,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/1403 2pdf/analysis_pages_0001-0002.md
localstart.asp,asp,1,Malwares and Logs/access.log
ahmet.incebeyaz,incebeyaz,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510025101_default_91.93.60.19_ad.exchange.mail_714410.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510023853_default_91.93.60.19_ad.exchange.mail_346834.txt
arakkal.anita,anita,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528085858_default_3.35.110.181_ad.exchange.mail_716037.txt
cudo.co.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
minervamuhendislik.com.tr,tr,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095927_default_212.156.77.214_ad.exchange.mail_939687.txt
mail.batabco.ir,ir,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
dr.ajubara,ajubara,2,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511153641_default_77.232.98.21_ad.exchange.mail_181003.txt|Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511154452_default_77.232.98.21_ad.exchange.mail_092681.txt
install.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
